state_ut,city,city_1,city_2,city_3,city_4,city_5,city_6,city_7,city_8,city_9,city_10,city_11,city_12,city_13,city_14,city_15,city_16,city_17,city_18
Andhra Pradesh,"Anantapur, Chitoor, Eluru, Guntur, Kadapa, Kurnool, Nellore, Ongole, Rajahmundry, Srikakulam, Vijayawada, Vishakhapatnam, Vizianagaram",Anantapur, Chitoor, Eluru, Guntur, Kadapa, Kurnool, Nellore, Ongole, Rajahmundry, Srikakulam, Vijayawada, Vishakhapatnam, Vizianagaram,,,,,
Assam,"Guwahati, Nagaon, Nalbari, Sibsagar, Silchar",Guwahati, Nagaon, Nalbari, Sibsagar, Silchar,,,,,,,,,,,,,
Bihar,"Gaya, Muzaffarpur, Patna",Gaya, Muzaffarpur, Patna,,,,,,,,,,,,,,,
Chandigarh,Chandigarh,Chandigarh,,,,,,,,,,,,,,,,,
Chhattisgarh,"Bhilai, Korba, Raipur",Bhilai, Korba, Raipur,,,,,,,,,,,,,,,
Delhi,Delhi,Delhi,,,,,,,,,,,,,,,,,
Gujarat,"Ahmedabad, Surat, Vadodara",Ahmedabad, Surat, Vadodara,,,,,,,,,,,,,,,
Himachal Pradesh,"Baddi, Damtal, Kala Amb, Nalagarh, Paonta Sahib, Parwanoo, Sunder Nagar",Baddi, Damtal, Kala Amb, Nalagarh, Paonta Sahib, Parwanoo, Sunder Nagar,,,,,,,,,,,
Jammu & Kashmir,"Jammu, Srinagar",Jammu, Srinagar,,,,,,,,,,,,,,,,
Jharkhand,Dhanbad,Dhanbad,,,,,,,,,,,,,,,,,
Karnataka,"Bengaluru, Devanagere, Gulburga, Hubli-Dharwad",Bengaluru, Devanagere, Gulburga, Hubli-Dharwad,,,,,,,,,,,,,,
Madhya Pradesh,"Bhopal, Dewas, Gwalior, Indore, Sagar, Ujjain",Bhopal, Dewas, Gwalior, Indore, Sagar, Ujjain,,,,,,,,,,,,
Maharashtra,"Akola, Amravati, Aurangabad, Badlapur, Chandrapur, Jalgaon, Jalna, Kolhapur, Latur, Mumbai, Nagpur, Nashik, Navi Mumbai, Pune, Sangli, Solapur, Thane, Ulhasnagar",Akola, Amravati, Aurangabad, Badlapur, Chandrapur, Jalgaon, Jalna, Kolhapur, Latur, Mumbai, Nagpur, Nashik, Navi Mumbai, Pune, Sangli, Solapur, Thane, Ulhasnagar
Meghalaya,Byrnihat,Byrnihat,,,,,,,,,,,,,,,,,
Nagaland,"Dimapur, Kohima",Dimapur, Kohima,,,,,,,,,,,,,,,,
Odisha,"Angul, Balasore, Bhubneshwar, Cuttack, Kalinga Nagar, Rourkela, Talcher",Angul, Balasore, Bhubneshwar, Cuttack, Kalinga Nagar, Rourkela, Talcher,,,,,,,,,,,
Punjab,"Amritsar, Dera Bassi, Gobindgarh, Jalandhar, Khanna, Ludhiana, Naya Nangal, Pathankot/Dera Baba, Patiala",Amritsar, Dera Bassi, Gobindgarh, Jalandhar, Khanna, Ludhiana, Naya Nangal, Pathankot/Dera Baba, Patiala,,,,,,,,,
Rajasthan,"Alwar, Jaipur, Jodhpur, Kota, Udaipur",Alwar, Jaipur, Jodhpur, Kota, Udaipur,,,,,,,,,,,,,
Tamil Nadu,"Trichy, Tuticorin",Trichy, Tuticorin,,,,,,,,,,,,,,,,
Telangana,"Hyderabad, Nalgonda, Patencheru, Sangareddy",Hyderabad, Nalgonda, Patencheru, Sangareddy,,,,,,,,,,,,,,
Uttar Pradesh,"Agra, Allahabad, Anpara, Bareily, Firozabad, Gajraula, Ghaziabad, Jhansi, Kanpur, Khurja, Lucknow, Moradabad, Noida, Raebareli, Varanasi",Agra, Allahabad, Anpara, Bareily, Firozabad, Gajraula, Ghaziabad, Jhansi, Kanpur, Khurja, Lucknow, Moradabad, Noida, Raebareli, Varanasi,,,
Uttarakhand,"Dehradun, Kashipur, Rishikesh",Dehradun, Kashipur, Rishikesh,,,,,,,,,,,,,,,
West Bengal,"Asansol, Barrackpore, Durgapur, Haldia, Howrah, Kolkata, Ranigunj",Asansol, Barrackpore, Durgapur, Haldia, Howrah, Kolkata, Ranigunj,,,,,,,,,,,